ContentLength    CreationTime                      Group       IsDirectory    LastModified         Name                                                   Owner                                 Permissions
---------------  --------------------------------  ----------  -------------  -------------------  -----------------------------------------------------  ------------------------------------  -------------
0                2022-02-04T13:21:31.033972+00:00  $superuser  True           2022-03-11T12:47:07  Global/Activity/CNMigration_unused                     63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-04-23T06:10:51.538374+00:00  $superuser  True           2022-04-23T06:10:51  Global/Activity/CONFIGPARAMETER                        63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-03-27T17:57:10.323063+00:00  $superuser  True           2022-03-27T17:57:10  Global/Activity/D_ACCOUNT                              63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-02-06T06:07:09.877248+00:00  $superuser  True           2022-02-06T06:07:09  Global/Activity/D_ACCOUNT_EXT                          63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-05-02T07:21:24.077964+00:00  $superuser  True           2022-05-02T07:21:24  Global/Activity/D_ACCOUNT_PLAN                         63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-03-30T14:30:36.956501+00:00  $superuser  True           2022-03-30T14:30:36  Global/Activity/D_ACCOUNT_TACTIC                       63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-02-06T06:07:12.859213+00:00  $superuser  True           2022-02-06T06:07:12  Global/Activity/D_ADDRESS                              63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-02-06T06:07:14.996069+00:00  $superuser  True           2022-02-06T06:07:14  Global/Activity/D_ALERT                                63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-02-06T06:07:15.824910+00:00  $superuser  True           2022-02-06T06:07:15  Global/Activity/D_APPROVED_DOCUMENT                    63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-02-06T06:07:16.804582+00:00  $superuser  True           2022-02-06T06:07:16  Global/Activity/D_ATTACHMENT                           63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-03-29T17:43:58.579779+00:00  $superuser  True           2022-03-29T17:43:58  Global/Activity/D_BLOCKED_ACCOUNTS                     63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-03-29T19:46:06.494453+00:00  $superuser  True           2022-03-29T19:46:06  Global/Activity/D_CALENDAR                             63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-02-06T06:07:24.434521+00:00  $superuser  True           2022-02-06T06:07:24  Global/Activity/D_CALL_FOLLOWUP_TEMPLATE               63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-02-06T06:07:25.302878+00:00  $superuser  True           2022-02-06T06:07:25  Global/Activity/D_CLM_PRESENTATION                     63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-02-06T06:07:26.763421+00:00  $superuser  True           2022-02-06T06:07:26  Global/Activity/D_CLM_PRESENTATION_SLIDE               63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-02-06T06:07:29.304378+00:00  $superuser  True           2022-02-06T06:07:29  Global/Activity/D_CONSENT_TYPE                         63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-02-06T06:07:29.972395+00:00  $superuser  True           2022-02-06T06:07:29  Global/Activity/D_COUNTRY                              63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-02-06T06:07:30.811095+00:00  $superuser  True           2022-02-06T06:07:30  Global/Activity/D_DEFINED_HIER_PRODUCT                 63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-02-06T06:07:31.680921+00:00  $superuser  True           2022-02-06T06:07:31  Global/Activity/D_EMAIL_TEMPLATE                       63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-09-08T07:07:52.009042+00:00  $superuser  True           2022-09-08T07:07:52  Global/Activity/D_EM_ATTENDEE                          63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-09-08T07:26:15.130694+00:00  $superuser  True           2022-09-08T07:26:15  Global/Activity/D_EM_BUDGET                            63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-02-06T06:07:32.501879+00:00  $superuser  True           2022-02-06T06:07:32  Global/Activity/D_EM_CATALOG                           63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-03-30T13:25:46.539091+00:00  $superuser  True           2022-03-30T13:25:46  Global/Activity/D_EM_EVENT                             63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
0                2022-09-08T07:07:25.357261+00:00  $superuser  True           2022-09-08T07:07:25  Global/Activity/D_EM_EVENT_BUDGET                      63d37043-72c4-453d-91e6-cd3dd09a1381  rwxrwx---+
